,Symbol,Name,Industry,IndustryCode
1276,LILM,Lilium NV Class A,우주항공 및 국방,521010
1277,TITN,Titan Machinery Inc,"건설장비 및 대형차, 기차, 배",521020
1278,CFB,CrossFirst Bankshares Inc,은행,551010
1279,TBPH,Theravance Biopharma Inc,제약,562010
1280,SCOA,Scion Tech Growth I Class A,기타 금융업,556010
1281,ANAB,AnaptysBio Inc,생명과학 및 메디컬 리서치,562020
1282,IMTX,Immatics NV,생명과학 및 메디컬 리서치,562020
1283,RGP,Resources Connection Inc,전문 및 상업 서비스,522030
1284,RUSHB,Rush Enterprises Inc Class B,전문품 상점,534030
1285,LGAC,Lazard Growth Acquisition Corp I,기타 금융업,556010
1286,CAC,Camden National Corp,은행,551010
1287,SLAM,Slam Corp Class A,기타 금융업,556010
1288,LMACA,Liberty Media Acquisition Corp Series A,기타 금융업,556010
1289,CRAI,CRA International Inc,전문 및 상업 서비스,522030
1290,MSDA,MSD Acquisition Corp Class A,기타 금융업,556010
1291,MTLS,Materialise NV ADR,소프트웨어 및 IT서비스,572010
1292,SLGC,Somalogic Inc Class A,생명과학 및 메디컬 리서치,562020
1293,SKYT,Skywater Technology Inc,반도체 및 반도체 장비,571010
1294,GHRS,GH Research PLC,생명과학 및 메디컬 리서치,562020
1295,SCVL,Shoe Carnival Inc,전문품 상점,534030
1296,FEAM,5E Advanced Materials Inc,메탈&마이닝,512010
1297,HMST,HomeStreet Inc,은행,551010
1298,ARQQ,Arqit Quantum Inc,소프트웨어 및 IT서비스,572010
1299,IEA,Infrastructure and Energy Alternatives Inc,건설 및 엔지니어링,522010
1300,MOR,MorphoSys AG ADR,생명과학 및 메디컬 리서치,562020
1301,INGN,Inogen Inc,헬스케어 장비 및 용품,561010
1302,KZR,Kezar Life Sciences Inc,생명과학 및 메디컬 리서치,562020
1303,SNDL,SNDL Inc,제약,562010
1304,LBC,Luther Burbank Corp,은행,551010
1305,LQDT,Liquidity Services Inc,소프트웨어 및 IT서비스,572010
1306,AVIR,Atea Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1307,SWBI,Smith & Wesson Brands Inc,레저 상품,532050
1308,TRST,TrustCo Bank Corp N Y,은행,551010
1309,PWP,Perella Weinberg Partners Class A,투자은행 및 서비스,551020
1310,IESC,IES Holdings Inc,건설 및 엔지니어링,522010
1311,MCRB,Seres Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1312,SOHU,Sohu.com Ltd ADR,소프트웨어 및 IT서비스,572010
1313,IPSC,Century Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1314,FFIC,Flushing Financial Corp,은행,551010
1315,GLDD,Great Lakes Dredge & Dock Corp,건설 및 엔지니어링,522010
1316,HIFS,Hingham Institution For Savings,은행,551010
1317,TPIC,TPI Composites Inc,재생에너지,502010
1318,CMPS,Compass Pathways PLC ADR,생명과학 및 메디컬 리서치,562020
1319,DRTS,Alpha Tau Medical Ltd,기타 금융업,556010
1320,FARO,FARO Technologies Inc,전자 장비 및 부품,571040
1321,KVSC,Khosla Ventures Acquisition III Co Class A,기타 금융업,556010
1322,BIRD,Allbirds Inc Class A,섬유 및 의류,532020
1323,RUTH,Ruth's Hospitality Group Inc,호텔 및 엔터테인먼트,533010
1324,CAN,Canaan Inc ADR,"컴퓨터, 전화 및 가전제품",571060
1325,INVZ,Innoviz Technologies Ltd,반도체 및 반도체 장비,571010
1326,ONEW,OneWater Marine Inc Class A,레저 상품,532050
1327,FHTX,Foghorn Therapeutics Inc.,생명과학 및 메디컬 리서치,562020
1328,TRMR,Tremor International Ltd ADR,미디어 및 출판,533020
1329,FFIE,Faraday Future Intelligent Electric Inc,자동차 및 자동차 부품,531010
1330,NESR,National Energy Services Reunited Corp,오일 및 가스 장비 및 서비스,501030
1331,RICK,RCI Hospitality Holdings Inc,호텔 및 엔터테인먼트,533010
1332,OSBC,Old Second Bancorp Inc,은행,551010
1333,EGLE,Eagle Bulk Shipping Inc,화물 및 물류 서비스,524050
1334,PMVP,PMV Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1335,KNTE,Kinnate Biopharma Inc,생명과학 및 메디컬 리서치,562020
1336,INDT,Indus Realty Trust Inc,주택 및 상업용 리츠,601020
1337,CTIC,CTI Biopharma Corp,생명과학 및 메디컬 리서치,562020
1338,PGC,Peapack-Gladstone Financial Corp,은행,551010
1339,TLS,Telos Corp,소프트웨어 및 IT서비스,572010
1340,YORW,York Water Co,수도 유틸리티,591030
1341,HCAT,Health Catalyst Inc,헬스케어 장비 및 용품,561010
1342,SEER,Seer Inc Class A,사무기기,571050
1343,SVA,Sinovac Biotech Ltd,제약,562010
1344,VRAY,ViewRay Inc,헬스케어 장비 및 용품,561010
1345,SVFA,SVF Investment Corp Class A,기타 금융업,556010
1346,TBLA,Taboola.com Ltd,소프트웨어 및 IT서비스,572010
1347,BVS,Bioventus Inc Class A,헬스케어 장비 및 용품,561010
1348,AMRN,Amarin Corporation PLC ADR,생명과학 및 메디컬 리서치,562020
1349,SOUN,SoundHound AI Inc Class A,소프트웨어 및 IT서비스,572010
1350,CMLT,CM Life Sciences III Inc Class A,기타 금융업,556010
1351,GHIX,Gores Holdings IX Inc Class A,기타 금융업,556010
1352,CMAX,CareMax Inc Class A,헬스케어 업체 및 서비스,561020
1353,SDC,SmileDirectClub Inc Class A,헬스케어 장비 및 용품,561010
1354,SIBN,SI-BONE Inc,헬스케어 장비 및 용품,561010
1355,CFIV,CF Acquisition IV Corp Class A,기타 금융업,556010
1356,KELYA,Kelly Services Inc Class A,전문 및 상업 서비스,522030
1357,WIFI,Boingo Wireless Inc,통신 서비스,574010
1358,BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010
1359,ANIP,ANI Pharmaceuticals Inc,제약,562010
1360,PLCE,Children's Place Inc,전문품 상점,534030
1361,CSII,Cardiovascular Systems Inc,헬스케어 장비 및 용품,561010
1362,IMGO,Imago BioSciences Inc,생명과학 및 메디컬 리서치,562020
1363,VINP,Vinci Partners Investments Ltd Class A,투자은행 및 서비스,551020
1364,FLWS,1-800-Flowers.Com Inc Class A,전문품 상점,534030
1365,HSII,Heidrick & Struggles International Inc,전문 및 상업 서비스,522030
1366,NSTG,NanoString Technologies Inc,헬스케어 장비 및 용품,561010
1367,PHVS,Pharvaris NV,생명과학 및 메디컬 리서치,562020
1368,LCA,Landcadia Holdings IV Inc Class A,기타 금융업,556010
1369,CRBU,Caribou Biosciences Inc,생명과학 및 메디컬 리서치,562020
1370,MSBI,Midland States Bancorp Inc,은행,551010
1371,ACET,Adicet Bio Inc,생명과학 및 메디컬 리서치,562020
1372,MASS,908 Devices Inc.,헬스케어 장비 및 용품,561010
1373,COLL,Collegium Pharmaceutical Inc,제약,562010
1374,BBSI,Barrett Business Services Inc,전문 및 상업 서비스,522030
1375,CCD,Calamos Dynamic Convertible And Income Closed Fund,다양한 금융서비스,555010
1376,TRNS,Transcat Inc,전문 및 상업 서비스,522030
1377,CARA,Cara Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1378,USLM,United States Lime & Minerals Inc,건축 자재,512020
1379,CGEM,Cullinan Oncology Inc,생명과학 및 메디컬 리서치,562020
1380,SVFAU,SVF Investment Units,기타 금융업,556010
1381,INAQ,Insu Acquisition Corp II Class A,기타 금융업,556010
1382,BTWNU,Bridgetown Hldg Units,기타 금융업,556010
1383,RMGC,RMG Acquisition Corp III Class A,기타 금융업,556010
1384,DYN,Dyne Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1385,CRGE,Charge Enterprises Inc,통신 서비스,574010
1386,RGTI,Rigetti Computing Inc,반도체 및 반도체 장비,571010
1387,INO,Inovio Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1388,HIIIU,Hudson Executive Investment III Unit,기타 금융업,556010
1389,THFF,First Financial Corp,은행,551010
1390,ETACU,E Merge Technology Acquisition Units,기타 금융업,556010
1391,TWOU,2U Inc,소프트웨어 및 IT서비스,572010
1392,CHSCO,CHS Cumulative Redeemable Pref Shs Class B,식품 및 담배,541020
1393,VITL,Vital Farms Inc,식품 및 약품소매,543010
1394,VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1395,CATC,Cambridge Bancorp,은행,551010
1396,AMOT,Allied Motion Technologies Inc,"건설장비 및 대형차, 기차, 배",521020
1397,JANX,Janux Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1398,KE,Kimball Electronics Inc,반도체 및 반도체 장비,571010
1399,VSEC,VSE Corp,우주항공 및 국방,521010
1400,ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020
1401,MBWM,Mercantile Bank Corp,은행,551010
1402,EOLS,Evolus Inc,제약,562010
1403,MXCT,MaxCyte Inc,헬스케어 장비 및 용품,561010
1404,TSAT,Telesat Corp Class A,통신 서비스,574010
1405,BZUN,Baozun Inc ADR,소프트웨어 및 IT서비스,572010
1406,SCOAU,ScION Tech Growth I Units,기타 금융업,556010
1407,LMACU,Liberty Media Acquisition Units,기타 금융업,556010
1408,MSDAU,MSD Acquisition Units,기타 금융업,556010
1409,ZUMZ,Zumiez Inc,전문품 상점,534030
1410,LGACU,Lazard Growth Acquisition Units,기타 금융업,556010
1411,CCBG,Capital City Bank Group Inc,은행,551010
1412,AIRS,Airsculpt Technologies Inc,헬스케어 업체 및 서비스,561020
1413,FMTX,Forma Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
1414,CSWC,Capital Southwest Corp,투자은행 및 서비스,551020
1415,TRVG,Trivago NV ADR,소프트웨어 및 IT서비스,572010
1416,GTPB,Gores Technology Partners II Inc Class A,기타 금융업,556010
1417,SLAMU,Slam Units,기타 금융업,556010
1418,BOWX,BowX Acquisition Corp Class A,기타 금융업,556010
1419,RTLR,Rattler Midstream Partners Units,오일 및 가스 장비 및 서비스,501030
1420,TCX,Tucows Inc,소프트웨어 및 IT서비스,572010
1421,CENT,Central Garden & Pet Co,식품 및 담배,541020
1422,MCBS,Metrocity Bankshares Inc,은행,551010
1423,ALXO,ALX Oncology Holdings Inc,생명과학 및 메디컬 리서치,562020
1424,LXRX,Lexicon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1425,VTNR,Vertex Energy Inc,오일 및 가스,501020
1426,WKHS,Workhorse Group Inc,자동차 및 자동차 부품,531010
1427,LASR,nLIGHT Inc,반도체 및 반도체 장비,571010
1428,BLTE,Belite Bio Inc ADR,생명과학 및 메디컬 리서치,562020
1429,TSVT,2Seventy Bio Inc,생명과학 및 메디컬 리서치,562020
1430,TTCF,Tattooed Chef Inc Class A,식품 및 담배,541020
1431,FRPH,FRP Holdings Inc,기타 금융업,556010
1432,OPRA,Opera Ltd ADR,소프트웨어 및 IT서비스,572010
1433,ZING,Ftac Zeus Acquisition Corp Class A,기타 금융업,556010
1434,AROW,Arrow Financial Corp,은행,551010
1435,FCBC,First Community Bankshares Inc,은행,551010
1436,VAQC,Vector Acquisition II Corp Class A,기타 금융업,556010
1437,HLTH,Cue Health Inc,소프트웨어 및 IT서비스,572010
1438,ORGO,Organogenesis Holdings Inc Class A,제약,562010
1439,CHSCL,CHS Cumulative Redeemable Pref Shs Series 4 Class B,식품 및 담배,541020
1440,CMBM,Cambium Networks Corp,커뮤니케이션 및 네트워킹,571020
1441,BPYPM,Brookfield Property Preferred Pref Shs,은행,551010
1442,LE,Lands End Inc,전문품 상점,534030
1443,CCCC,C4 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1444,DENN,Denny's Corp,호텔 및 엔터테인먼트,533010
1445,ITRN,Ituran Location and Control Ltd,커뮤니케이션 및 네트워킹,571020
1446,BFST,Business First Bancshares Inc,은행,551010
1447,CCB,Coastal Financial Corp (EVERETT),은행,551010
1448,HAAC,Health Assurance Acquisition Corp Class A,기타 금융업,556010
1449,HAYN,Haynes International Inc,메탈&마이닝,512010
1450,CCAP,Crescent Capital BDC Inc,다양한 금융서비스,555010
1451,SBNYP,SIGNATURE 40 DEPOSITARY SHS REPSTG PERP PFD Series A,은행,551010
1452,SHCR,Sharecare Inc Class A,소프트웨어 및 IT서비스,572010
1453,EWTX,Edgewise Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1454,HBT,HBT Financial Inc,은행,551010
1455,KOD,Kodiak Sciences Inc,생명과학 및 메디컬 리서치,562020
1456,INNV,InnovAge Holding Corp,헬스케어 업체 및 서비스,561020
1457,IIVIP,II VI Mandatory Conv Pref Shs Series A,전자 장비 및 부품,571040
1458,AERI,Aerie Pharmaceuticals Inc,제약,562010
1459,GSEVU,Gores Holdings VII Units,기타 금융업,556010
1460,REVHU,Revolution Healthcare Acquisition Units,기타 금융업,556010
1461,RANI,Rani Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
1462,GSEV,Gores Holdings VII Inc Class A,기타 금융업,556010
1463,NEWT,Newtek Business Services Corp,은행,551010
1464,GTHX,G1 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1465,DXPE,DXP Enterprises Inc,"건설장비 및 대형차, 기차, 배",521020
1466,DHIL,Diamond Hill Investment Group Inc Class A,투자은행 및 서비스,551020
1467,ACQR,Independence Holdings Corp Class A,기타 금융업,556010
1468,NOTV,Inotiv Inc,생명과학 및 메디컬 리서치,562020
1469,EQBK,Equity Bancshares Inc Class A,은행,551010
1470,TRIN,Trinity Capital Inc,투자은행 및 서비스,551020
1471,VUZI,Vuzix Corp,전자 장비 및 부품,571040
1472,RBBN,Ribbon Communications Inc,커뮤니케이션 및 네트워킹,571020
1473,RWAY,Runway Growth Finance Corp,은행,551010
1474,MYPS,Playstudios Inc Class A,소프트웨어 및 IT서비스,572010
1475,OCGN,Ocugen Inc,생명과학 및 메디컬 리서치,562020
1476,ICPT,Intercept Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1477,TIGR,UP Fintech Holding Ltd ADR Class A,투자은행 및 서비스,551020
1478,CASS,Cass Information Systems Inc,전문 및 상업 서비스,522030
1479,RADA,Rada Electronic Industries Ltd,커뮤니케이션 및 네트워킹,571020
1480,BMRC,Bank of Marin Bancorp,은행,551010
1481,DGNU,Dragoneer Growth Opportunities III Corp Class A,기타 금융업,556010
1482,PACWP,PacWest Bancorp DRC Series A,은행,551010
1483,BGRY,Berkshire Grey Inc Class A,"건설장비 및 대형차, 기차, 배",521020
1484,DCRC,Decarbonization Plus Acquisition Corporation III Class A,기타 금융업,556010
1485,LIND,Lindblad Expeditions Holdings Inc,호텔 및 엔터테인먼트,533010
1486,CMLTU,CM Life Sciences III Units,기타 금융업,556010
1487,ABST,Absolute Software Corp,소프트웨어 및 IT서비스,572010
1488,ANZU,Anzu Special Acquisition Corp I Class A,기타 금융업,556010
1489,HAACU,Health Assurance Acquisition Units,기타 금융업,556010
1490,CDXS,Codexis Inc,생명과학 및 메디컬 리서치,562020
1491,AVTE,Aerovate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1492,RPTX,Repare Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1493,TBCP,Thunder Bridge Capital Partners III Inc Class A,기타 금융업,556010
1494,CDLX,Cardlytics Inc,미디어 및 출판,533020
1495,STRC,Sarcos Technology and Robotics Corp,"건설장비 및 대형차, 기차, 배",521020
1496,GHIXU,Gores Holdings IX Units,기타 금융업,556010
1497,SNRH,Senior Connect Acquisition Corp I Class A,기타 금융업,556010
1498,FINM,Marlin Technology Corp Class A,기타 금융업,556010
1499,VTRU,Vitru Ltd,학교,631020
1500,POWW,Ammo Inc,우주항공 및 국방,521010
1501,JOFF,JOFF Fintech Acquisition Corp Class A,기타 금융업,556010
1502,LOVE,Lovesac Co,가정용품,532040
1503,OHPA,Orion Acquisition Corp Class A,기타 금융업,556010
1504,METC,Ramaco Resources Inc,메탈&마이닝,512010
1505,MOFG,Midwestone Financial Group Inc (IOWA),은행,551010
1506,CTAQ,Carney Technology Acquisition Corp. II Class A,기타 금융업,556010
1507,MAAC,Montes Archimedes Acquisition Corp Class A,기타 금융업,556010
1508,GAIN,Gladstone Investment Corp,다양한 금융서비스,555010
1509,CRMT,America's CAR-MART Inc,전문품 상점,534030
1510,EPHY,Epiphany Technology Acquisition Corp Class A,기타 금융업,556010
1511,CFIVU,CF Acquisition IV Units,기타 금융업,556010
1512,VERA,Vera Therapeutics Inc Class A,생명과학 및 메디컬 리서치,562020
1513,SMBC,Southern Missouri Bancorp Inc,은행,551010
1514,CHSCM,CHS Reset Rate Cumulative Redeemable Pref Shs Series 3 Class B,식품 및 담배,541020
1515,EGRX,Eagle Pharmaceuticals Inc,제약,562010
1516,ARTNA,Artesian Resources Corp Class A,수도 유틸리티,591030
1517,TCVA,TCV Acquisition Corp Class A,기타 금융업,556010
1518,RLYB,Rallybio Corp,생명과학 및 메디컬 리서치,562020
1519,ADMA,ADMA Biologics Inc,제약,562010
1520,BWB,Bridgewater Bancshares Inc,은행,551010
1521,HOL,Holicity Inc,기타 금융업,556010
1522,SRDX,Surmodics Inc,헬스케어 장비 및 용품,561010
1523,COOL,Corner Growth Acquisition Corp Class A,기타 금융업,556010
1524,PACX,Pioneer Merger Corp Class A,기타 금융업,556010
1525,EZPW,EZCORP Inc Class A,은행,551010
1526,FMNB,Farmers National Banc Corp,은행,551010
1527,IMAB,I-Mab ADR,제약,562010
1528,AGNCP,Agnc Invt 1000 Dep Shs Repstg Cum Red Prf Series F,주택 및 상업용 리츠,601020
1529,BHFAN,Brighthouse Financial 1000 DS Repstg Non Cum Pfd Ser C,보험,553010
1530,GTX,Garrett Motion Inc,자동차 및 자동차 부품,531010
1531,PUYI,Puyi Inc ADR,투자은행 및 서비스,551020
1532,HYZN,Hyzon Motors Inc Class A,"건설장비 및 대형차, 기차, 배",521020
1533,FDUS,Fidus Investment Corp,다양한 금융서비스,555010
1534,LCAHU,Landcadia Holdings IV Units,기타 금융업,556010
1535,INAQU,Insu Acquisition Corp II,기타 금융업,556010
1536,ETAC,E.Merge Technology Acquisition Corp Class A,기타 금융업,556010
1537,ROLLP,RBC BEARINGS Pref Shs,"건설장비 및 대형차, 기차, 배",521020
1538,QSI,Quantum-Si Inc Class A,반도체 및 반도체 장비,571010
1539,ESPR,Esperion Therapeutics Inc,제약,562010
1540,HRTX,Heron Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1541,AMYT,Amryt Pharma PLC ADR,제약,562010
1542,ALRS,Alerus Financial Corp,은행,551010
1543,PNTG,Pennant Group Inc,헬스케어 업체 및 서비스,561020
1544,TBLD,Thornburg Income Builder Opportunities Trust,다양한 금융서비스,555010
1545,SRRK,Scholar Rock Holding Corp,생명과학 및 메디컬 리서치,562020
1546,API,Agora Inc ADR,소프트웨어 및 IT서비스,572010
1547,TREE,Lendingtree Inc,은행,551010
1548,TOI,Oncology Institute Inc,헬스케어 업체 및 서비스,561020
1549,LGST,Semper Paratus Acquisition Corp Class A,기타 금융업,556010
1550,MPB,Mid Penn Bancorp Inc,은행,551010
1551,REVH,Revolution Healthcare Acquisition Corp Class A,기타 금융업,556010
1552,BOOM,DMC Global Inc,오일 및 가스 장비 및 서비스,501030
1553,AURA,Aura Biosciences Inc,생명과학 및 메디컬 리서치,562020
1554,MCFT,Mastercraft Boat Holdings Inc,레저 상품,532050
1555,LQDA,Liquidia Corp,생명과학 및 메디컬 리서치,562020
1556,RMGCU,Rmg Acquisition Iii Units,기타 금융업,556010
1557,HMPT,Home Point Capital Inc,은행,551010
1558,RMNI,Rimini Street Inc,소프트웨어 및 IT서비스,572010
1559,OSPN,OneSpan Inc,통합 하드웨어 및 소프트웨어,571070
1560,VIEW,View Inc Class A,주택건설,532030
1561,CSTR,CapStar Financial Holdings Inc,은행,551010
1562,PETS,Petmed Express Inc,식품 및 약품소매,543010
1563,AKYA,Akoya Biosciences Inc,헬스케어 장비 및 용품,561010
1564,TETC,Tech & Energy Transition Corp Class A,기타 금융업,556010
1565,ATLC,Atlanticus Holdings Corp,은행,551010
1566,CCNE,CNB Financial Corp,은행,551010
1567,CVLG,Covenant Logistics Group Inc Class A,화물 및 물류 서비스,524050
1568,NIU,NIU Technologies ADR,자동차 및 자동차 부품,531010
1569,MITK,Mitek Systems Inc,소프트웨어 및 IT서비스,572010
1570,ZIMV,ZimVie Inc,헬스케어 장비 및 용품,561010
1571,PTGX,Protagonist Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1572,NAAC,North Atlantic Acquisition Corp Class A,기타 금융업,556010
1573,BOWXU,BowX Acquisition Units,기타 금융업,556010
1574,DCRCU,Decarbonization Plus Acquisition III Units,기타 금융업,556010
1575,SCWO,374Water Inc,"건설장비 및 대형차, 기차, 배",521020
1576,FITBI,Fifth Third Bancorp Depositary Shares Representing 1/1000th Perp Pref Shs,은행,551010
1577,HUMA,Humacyte Inc,생명과학 및 메디컬 리서치,562020
1578,MSON,Misonix Inc,헬스케어 장비 및 용품,561010
1579,VXRT,Vaxart Inc,생명과학 및 메디컬 리서치,562020
1580,BLUE,bluebird bio Inc,생명과학 및 메디컬 리서치,562020
1581,CHW,Calamos Global Dynamic Income Closed Fund,다양한 금융서비스,555010
1582,SPFI,South Plains Financial Inc,은행,551010
1583,GIG,GigCapital4 Inc,기타 금융업,556010
1584,IBCP,Independent Bank Corp (Michigan),은행,551010
1585,FLIC,First of Long Island Corp,은행,551010
1586,ADGI,Adagio Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1587,BAND,Bandwidth Inc Class A,통신 서비스,574010
1588,AEHR,Aehr Test Systems,반도체 및 반도체 장비,571010
1589,DDI,DoubleDown Interactive Co Ltd ADR,호텔 및 엔터테인먼트,533010
1590,CPSI,Computer Programs and Systems Inc,헬스케어 장비 및 용품,561010
1591,RIDE,Lordstown Motors Corp Class A,자동차 및 자동차 부품,531010
1592,MLTX,MoonLake Immunotherapeutics Class A,생명과학 및 메디컬 리서치,562020
1593,GTPBU,Gores Technology Partners II Units,기타 금융업,556010
1594,SMFR,Sema4 Holdings Corp Class A,헬스케어 장비 및 용품,561010
1595,AKRO,Akero Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1596,SMBK,SmartFinancial Inc,은행,551010
1597,ACGLP,Arch Capital Group Ltd ADR,보험,553010
1598,AKLI,Social Capital Suvretta Holdings Corp I,기타 금융업,556010
1599,ARBE,Arbe Robotics Ltd,우주항공 및 국방,521010
1600,IRMD,IRadimed Corp,헬스케어 장비 및 용품,561010
1601,KVSA,Khosla Ventures Acquisition Co Class A,기타 금융업,556010
1602,WW,WW International Inc,"개인, 가정 용품 및 서비스",542010
1603,HUT,Hut 8 Mining Corp,핀테크,573010
1604,CIFR,Cipher Mining Inc,핀테크,573010
1605,PGEN,Precigen Inc,제약,562010
1606,LSXMB,Liberty Media Corp Series B,미디어 및 출판,533020
1607,MDXG,MiMedx Group Inc,생명과학 및 메디컬 리서치,562020
1608,HDSN,Hudson Technologies Inc,"건설장비 및 대형차, 기차, 배",521020
1609,PRTS,Carparts.Com Inc,전문품 상점,534030
1610,PPGH,Poema Global Holdings Corp Class A,기타 금융업,556010
1611,SPWH,Sportsmans Warehouse Holdings Inc,전문품 상점,534030
1612,FTCI,FTC Solar Inc,"건설장비 및 대형차, 기차, 배",521020
1613,CMPO,CompoSecure Inc Class A,전문 및 상업 서비스,522030
1614,EVLV,Evolv Technologies Holdings Inc Class A,커뮤니케이션 및 네트워킹,571020
1615,OFIX,Orthofix Medical Inc,헬스케어 장비 및 용품,561010
1616,CPAR,Catalyst Partners Acquisition Corp Class A,기타 금융업,556010
1617,MDCA,MDC Partners Inc Class A,미디어 및 출판,533020
1618,ARCT,Arcturus Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
1619,HCVI,Hennessy Capital Investment Corp VI Class A,기타 금융업,556010
1620,AFMD,Affimed NV,생명과학 및 메디컬 리서치,562020
1621,TIPT,Tiptree Inc,기타 금융업,556010
1622,ERES,East Resources Acquisition Co Class A,기타 금융업,556010
1623,HIVE,HIVE Blockchain Technologies Ltd,핀테크,573010
1624,MAPS,WM Technology Inc Class A,소프트웨어 및 IT서비스,572010
1625,TYRA,Tyra Biosciences Inc,생명과학 및 메디컬 리서치,562020
1626,KPTI,Karyopharm Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1627,GNTY,Guaranty Bancshares Inc,은행,551010
1628,LEGH,Legacy Housing Corp,주택건설,532030
1629,CPAA,Conyers Park III Acquisition Corp Class A,기타 금융업,556010
1630,VTIQ,VectoIQ Acquisition Corp II Class A,기타 금융업,556010
1631,TWLV,Twelve Seas Investment Co II Class A,기타 금융업,556010
1632,RBB,RBB Bancorp,은행,551010
1633,DSKE,Daseke Inc,화물 및 물류 서비스,524050
1634,FSBC,Five Star Bancorp,은행,551010
1635,IVCB,Investcorp Europe Acquisition I Corp Class A,기타 금융업,556010
1636,LGO,Largo Inc,우라늄,503010
1637,GRNA,Greenlight Biosciences Holdings PBC,생명과학 및 메디컬 리서치,562020
1638,PRE,Prenetics Global Ltd Class A,생명과학 및 메디컬 리서치,562020
1639,NDAC,Nightdragon Acquisition Corp Class A,기타 금융업,556010
1640,CTLP,Cantaloupe Inc,핀테크,573010
1641,TNGX,Tango Therapeutics Inc,생명과학 및 메디컬 리서치,562020
1642,ATAX,America First Multifamily Investors Units,은행,551010
1643,TARS,Tarsus Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
1644,SSTI,Shotspotter Inc,소프트웨어 및 IT서비스,572010
1645,WTBA,West Bancorporation Inc,은행,551010
1646,GCBC,Greene County Bancorp Inc,은행,551010
1647,LUXA,Lux Health Tech Acquisition Corp Class A,기타 금융업,556010
1648,CALT,Calliditas Therapeutics AB ADR,제약,562010
1649,MGTX,MeiraGTx Holdings PLC,생명과학 및 메디컬 리서치,562020
1650,DBVT,Dbv Technologies SA ADR,제약,562010
1651,BHFAP,Brighthouse Financial 1000 DS Representing 6 6 Non Cumulative Pref Shs Series A,보험,553010
1652,NGMS,NeoGames SA,소프트웨어 및 IT서비스,572010
1653,SLCR,Silver Crest Acquisition Corp Class A,기타 금융업,556010
1654,AXGN,AxoGen Inc,헬스케어 장비 및 용품,561010
1655,CHUY,Chuy's Holdings Inc,호텔 및 엔터테인먼트,533010
1656,CHSCN,CHS Reset Rate Pref Shs Class B Series 2,식품 및 담배,541020
1657,GLBL,Cartesian Growth Corp Class A,기타 금융업,556010
1658,CISO,Cerberus Cyber Sentinel Corp,소프트웨어 및 IT서비스,572010
1659,JCIC,Jack Creek Investment Corp. Class A,기타 금융업,556010
1660,FISI,Financial Institutions Inc,은행,551010
1661,SCOB,ScION Tech Growth II Class A,기타 금융업,556010
1662,GIIX,Gores Holdings VIII Inc Class A,기타 금융업,556010
1663,HCIC,Hennessy Capital Investment Corp V Class A,기타 금융업,556010
1664,OEPW,One Equity Partners Open Water I Corp Class A,기타 금융업,556010
1665,DHHC,DiamondHead Holdings Corp Class A,기타 금융업,556010
1666,SCLE,Broadscale Acquisition Corp Class A,기타 금융업,556010
1667,COLI,Colicity Inc Class A,기타 금융업,556010
1668,RXRA,RXR Acquisition Corp Class A,기타 금융업,556010
1669,PTOC,Pine Technology Acquisition Corp Class A,기타 금융업,556010
1670,HEC,Hudson Executive Investment Corp Class A,기타 금융업,556010
1671,MVBF,MVB Financial Corp,은행,551010
1672,ACAH,Atlantic Coastal Acquisition Corp Class A,기타 금융업,556010
1673,TIOA,Tio Tech A Class A,기타 금융업,556010
1674,DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020
1675,MEKA,MELI Kaszek Pioneer Corp Class A,기타 금융업,556010
1676,FMIV,Forum Merger IV Corp Class A,기타 금융업,556010
1677,CARE,Carter Bankshares Inc,은행,551010
1678,SOND,Sonder Holdings Inc Class A,호텔 및 엔터테인먼트,533010
